repo,total commits,affected commits,filter-affected commits,affected commits percentage,filter-affected commits percentage
vectalign,73,45,1,61.64383561643836,1.36986301369863
VideoPlayerManager,73,41,0,56.16438356164384,0.0
ViewAnimator,98,29,0,29.591836734693878,0.0
ViewInspector,89,19,0,21.348314606741575,0.0
ViewPagerCards,20,5,2,25.0,10.0
ViewPagerIndicator,92,29,2,31.52173913043478,2.1739130434782608
ViewServer,26,7,0,26.923076923076923,0.0
VirtualApp,100,6,1,6.0,1.0
VitamioBundle,100,35,1,35.0,1.0
Volley-demo,28,10,0,35.714285714285715,0.0
WaveSwipeRefreshLayout,36,11,0,30.555555555555557,0.0
WaveView,62,15,0,24.193548387096776,0.0
WebCollector,100,46,0,46.0,0.0
wechat,71,8,0,11.267605633802816,0.0
welcome-android,100,45,0,45.0,0.0
WheelPicker,100,35,0,35.0,0.0
wire,100,5,0,5.0,0.0
WoWoViewPager,100,29,0,29.0,0.0
xabber-android,100,70,0,70.0,0.0
XhsEmoticonsKeyboard,25,11,0,44.0,0.0
XPrivacy,100,1,0,1.0,0.0
xUtils3,100,59,1,59.0,1.0
ZhihuDailyPurify,41,10,0,24.390243902439025,0.0
zipkin,100,60,0,60.0,0.0
zxing,100,55,1,55.0,1.0
