project_name,commit_id,github_address,is_bug_fix
classgraph__classgraph,d1c1c878cc9b64fdbe579fe87c91a07a1356c11f,https://github.com/classgraph/classgraph/commit/d1c1c878cc9b64fdbe579fe87c91a07a1356c11f,not-bug-fix
HubSpot__Baragon,28d227b4a3fa7d85c68abac50cef0f6d77b118eb,https://github.com/HubSpot/Baragon/commit/28d227b4a3fa7d85c68abac50cef0f6d77b118eb,dont-know
2018swecapstone__h2ms,aa3c4107b2e06dd742e3f28d7bc15a6c671e37a3,https://github.com/2018swecapstone/h2ms/commit/aa3c4107b2e06dd742e3f28d7bc15a6c671e37a3,not-bug-fix
aws__aws-encryption-sdk-java,5e5c2dbac7ab39d2423bc1eb588be88eb939b491,https://github.com/aws/aws-encryption-sdk-java/commit/5e5c2dbac7ab39d2423bc1eb588be88eb939b491,not-bug-fix
Activiti__Activiti,89d78482cab59affb3320008d2684d2e40fde98f,https://github.com/Activiti/Activiti/commit/89d78482cab59affb3320008d2684d2e40fde98f,bug-fix
apache__incubator-servicecomb-java-chassis,2d051ab19506c2b77cc88467c5a51c04bd2e2f35,https://github.com/apache/incubator-servicecomb-java-chassis/commit/2d051ab19506c2b77cc88467c5a51c04bd2e2f35,bug-fix
pippo-java__pippo,f142ac222fe2d607af082edc2b7bef5d3eec893e,https://github.com/pippo-java/pippo/commit/f142ac222fe2d607af082edc2b7bef5d3eec893e,not-bug-fix
openmrs__openmrs-module-htmlformentry,64bb1f9c4e7a42a8c24a6895562f093bd71be0b7,https://github.com/openmrs/openmrs-module-htmlformentry/commit/64bb1f9c4e7a42a8c24a6895562f093bd71be0b7,bug-fix
swagger-api__swagger-codegen,e5bdb3a0c18f4be402abeca22e0d114154ae6d97,https://github.com/swagger-api/swagger-codegen/commit/e5bdb3a0c18f4be402abeca22e0d114154ae6d97,bug-fix
classgraph__classgraph,3c6d5a09a9edc0fca2de89ae560fb7db5d883665,https://github.com/classgraph/classgraph/commit/3c6d5a09a9edc0fca2de89ae560fb7db5d883665,bug-fix
openmrs__openmrs-module-webservices.rest,f89e28995542c70596c4b163164bdb1520e2ae03,https://github.com/openmrs/openmrs-module-webservices.rest/commit/f89e28995542c70596c4b163164bdb1520e2ae03,not-bug-fix
ctripcorp__apollo,e994f543ce96f852635d863a86d9fe39ef42dfac,https://github.com/ctripcorp/apollo/commit/e994f543ce96f852635d863a86d9fe39ef42dfac,dont-know
spring-cloud__spring-cloud-gcp,72d891b0467e8982b88860eaa863425b4a52bf3f,https://github.com/spring-cloud/spring-cloud-gcp/commit/72d891b0467e8982b88860eaa863425b4a52bf3f,not-bug-fix
Activiti__Activiti,e249a46c64d70d09747c37cf435dd21561a51fe2,https://github.com/Activiti/Activiti/commit/e249a46c64d70d09747c37cf435dd21561a51fe2,bug-fix
swagger-api__swagger-codegen,733e19c113b3cf77be28489ae9bc07b425cdd053,https://github.com/swagger-api/swagger-codegen/commit/733e19c113b3cf77be28489ae9bc07b425cdd053,bug-fix
cpesch__RouteConverter,822773636629b1f824b9eeedf46bc5db7650c8e5,https://github.com/cpesch/RouteConverter/commit/822773636629b1f824b9eeedf46bc5db7650c8e5,bug-fix
ctripcorp__apollo,548f931fbf34c8bd6321381540cebdba0a0e3067,https://github.com/ctripcorp/apollo/commit/548f931fbf34c8bd6321381540cebdba0a0e3067,bug-fix
EnMasseProject__enmasse,45dadd79a3aa108d617c028d5c555fba356d17e5,https://github.com/EnMasseProject/enmasse/commit/45dadd79a3aa108d617c028d5c555fba356d17e5,not-bug-fix
classgraph__classgraph,4e326936b9184455275fc1c2df7e24aeec0968a7,https://github.com/classgraph/classgraph/commit/4e326936b9184455275fc1c2df7e24aeec0968a7,bug-fix
lettuce-io__lettuce-core,4d0fa1984ac680797865289d91f20b432bfcc978,https://github.com/lettuce-io/lettuce-core/commit/4d0fa1984ac680797865289d91f20b432bfcc978,not-bug-fix
openmrs__openmrs-module-webservices.rest,d520291aaf8d370c959f880735b6700065197a22,https://github.com/openmrs/openmrs-module-webservices.rest/commit/d520291aaf8d370c959f880735b6700065197a22,not-bug-fix
INRIA__spoon,29b8e74e2d76150683bd66cf212e4266c64ce353,https://github.com/INRIA/spoon/commit/29b8e74e2d76150683bd66cf212e4266c64ce353,not-bug-fix
rkonovalov__jsonignore,567f6b4206cb149403e13d1143f3e85939f7d711,https://github.com/rkonovalov/jsonignore/commit/567f6b4206cb149403e13d1143f3e85939f7d711,dont-know
rkonovalov__jsonignore,51853a22ca584c97c89756a534da6d6e567b772f,https://github.com/rkonovalov/jsonignore/commit/51853a22ca584c97c89756a534da6d6e567b772f,not-bug-fix
molgenis__molgenis,2e624781fd9b5f1cdad76b066ec92ba091af5d13,https://github.com/molgenis/molgenis/commit/2e624781fd9b5f1cdad76b066ec92ba091af5d13,bug-fix
openmrs__openmrs-module-htmlformentry,2c6488812796f712582e0e960c1274b114eb2399,https://github.com/openmrs/openmrs-module-htmlformentry/commit/2c6488812796f712582e0e960c1274b114eb2399,not-bug-fix
SonarOpenCommunity__sonar-cxx,e8a920ea9ebb747d1adc9d9865c65f6cbd1602dc,https://github.com/SonarOpenCommunity/sonar-cxx/commit/e8a920ea9ebb747d1adc9d9865c65f6cbd1602dc,not-bug-fix
SpoonLabs__gumtree-spoon-ast-diff,2ce2a894e0418cf632681106b421a79c59ff83d1,https://github.com/SpoonLabs/gumtree-spoon-ast-diff/commit/2ce2a894e0418cf632681106b421a79c59ff83d1,bug-fix
